id,kategori,navn,land,breddegrad_pre_wgs84,lengdegrad_pre_wgs84,breddegrad_desimal,lengdegrad_desimal,aar_etablert,aar_maalt,kilde_type,kilde_referanse,kilde_url,sirkel_tilhorighet,avstand_til_sirkel_km,naerhet_kategori,merknad
PPLX-001,triangulering,Buffelsfontein Beacon,Sør-Afrika,33 59 32 S,25 30 44 E,-33.9922,25.5122,1879,1883,Arc of 30th Meridian sørligste punkt,Gill 1879; CLGE plakat 2004,https://www.clge.eu/wp-content/uploads/2014/04/hofgartner2.pdf,annen,1170,langt_fra,Origin Cape Datum pre-1999. Sør for Capricorn.
PPLX-002,triangulering,Natal Baseline,Sør-Afrika,,,-29.62,30.40,1883,1883,Arc of 30th Meridian basislinje,Smith 2005 FIG; CLGE Hofgartner,https://www.fig.net/organisation/perm/hsm/history_of/measurements/struve/struve_30arc_smith_2005.pdf,annen,690,langt_fra,Lengde 10800 fot. Posisjon omtrentlig.
PPLX-003,triangulering,Insnza Baseline,Zimbabwe,,,-19.50,29.50,1898,1898,Arc of 30th Meridian basislinje,Hofgartner CLGE,https://www.clge.eu/wp-content/uploads/2014/04/hofgartner2.pdf,annen,453,langt_fra,Posisjon omtrentlig
PPLX-004,triangulering,Gwibi Baseline,Zimbabwe,,,-17.65,30.85,1900,1900,Arc of 30th Meridian basislinje,Hofgartner CLGE,https://www.clge.eu/wp-content/uploads/2014/04/hofgartner2.pdf,annen,648,langt_fra,Posisjon omtrentlig nord for Harare
PPLX-005,triangulering,Semliki Base,Uganda,,,0.85,30.10,1908,1908,Arc of 30th Meridian basislinje,Smith 2005 FIG,https://www.fig.net/resources/proceedings/fig_proceedings/cairo/papers/wshs_03/wshs03_01_smith.pdf,Ekvator,94,nær_sirkel,Lengde 16532.376 m. Lake Albert dalen.
PPLX-006,triangulering,Omunturok,Uganda,,,0.30,30.05,1908,1909,Arc of 30th Meridian astro-stasjon,Smith 2005 FIG,https://www.fig.net/resources/proceedings/fig_proceedings/cairo/papers/wshs_03/wshs03_01_smith.pdf,Ekvator,33,nær_sirkel,Uganda-Congo grense
PPLX-007,triangulering,NKenda,Uganda,,,0.20,30.10,1908,1909,Arc of 30th Meridian astro-stasjon,Smith 2005 FIG,https://www.fig.net/resources/proceedings/fig_proceedings/cairo/papers/wshs_03/wshs03_01_smith.pdf,Ekvator,22,nær_sirkel,Astronomiske azimuth-obs.
PPLX-008,triangulering,Kasunju,Uganda,,,-0.25,29.95,1908,1909,Arc of 30th Meridian astro-stasjon,Smith 2005 FIG,https://www.fig.net/resources/proceedings/fig_proceedings/cairo/papers/wshs_03/wshs03_01_smith.pdf,Ekvator,28,nær_sirkel,"""Overlooking Lake Edward"""
PPLX-009,triangulering,Karangora,Uganda,,,0.30,30.00,1908,1909,Arc of 30th Meridian astro-stasjon,Smith 2005 FIG,https://www.fig.net/resources/proceedings/fig_proceedings/cairo/papers/wshs_03/wshs03_01_smith.pdf,Ekvator,33,nær_sirkel,Ruwenzori-spur
PPLX-010,triangulering,Isura,Uganda,,,1.10,30.50,1908,1909,Arc of 30th Meridian astro-stasjon,Smith 2005 FIG,https://www.fig.net/resources/proceedings/fig_proceedings/cairo/papers/wshs_03/wshs03_01_smith.pdf,annen,123,langt_fra,Escarpment vest av Lake Albert
