name,lat,lon,observations
"PORT EGMONT",-51.678372093023256,-57.97755813953488,86
"BRETTS HARBOUR",-51.33,-60.2,102
"TALCAGUANA",-36.74956521739131,-73.17478260869565,23
"SIMONSBAAY",-34.99,18.4375,4
"MALDONADO",-34.92,-54.833333333333336,3
"MONTEVIDEO",-34.89478260869566,-56.201195652173915,92
"BUENOS AIRES",-34.63,-58.33,8
"SIMONSBAAI",-34.51,18.686666666666667,3
"KAAP DE GOEDE HOOP",-34.278888888888886,18.247777777777777,9
"TAFELBAAI",-34.23833333333334,18.199166666666667,12
"CABO DE GOEDE HOOP",-34.205,18.2325,4
"VALPARAISO",-33.08,-71.67,6
"SALDANHA BAAI",-32.99666666666667,17.75,3
"FORT DAUPHIN BAY, MADAGASCAR",-25.03,47.0,17
"DAUPHIN BAY, MADAGASCAR",-25.02,47.0,12
"RIO DE JANEIRO",-23.0428125,-43.068124999999995,32
"RIO JANEIRO",-22.97666666666667,-42.93333333333334,3
"PORT LOUIS, MAURITIUS",-20.156666666666666,57.48,3
"PORT LOUIS",-20.141000000000002,57.497,10
"MAVILE BAY",-17.66,49.51,18
"ST MARY'S ROAD MADAGASCAR",-16.98,49.85000000000001,13
"ST MARY'S BAY MADAGASCAR",-16.98,49.85,72
"ST HELENA",-16.673191489361702,-2.8314893617021277,47
"JAMES TOWN",-16.262,-5.398000000000001,5
"MADAGASCAR BAY",-16.0,50.0,5
"ST HELLENA",-15.95,-5.72,21
"ALLERHEILIGEN BAAIJ",-12.973333333333334,-38.21333333333333,3
"BAHIA",-12.96,-38.51,11
"JOHANNA",-12.092,44.41,10
"ASCENSION",-8.047777777777778,-14.11,9
"SOERABAJA",-7.23,112.7,3
"DIEGO GARCIA",-7.23,72.4,65
"SOURABAIJA",-7.2299999999999995,112.7,106
"SAMARANG",-6.7122222222222225,110.16666666666667,9
"CHEREBON ROAD",-6.7,108.6,4
"ANJER",-6.173076923076923,105.91230769230768,13
"BATOWIA ROAD",-6.1,106.86,8
"BATAVIA",-6.099884792626728,106.85997695852535,434
"ONRUST",-6.03,106.72,38
"STRAAT SUNDA",-6.0,105.9,19
"ZUIDERWACHTER",-5.7,106.71999999999998,3
"MAKASSER",-5.14,119.4,52
"FERDINANDO LORONHO",-3.85,-32.42,4
"FERDINANDO",-3.85,-32.42,10
"AMBON",-3.7675,128.2075,8
"RIVER BANJOR",-3.52,114.47999999999999,21
"MONOPIN HILL",-2.0,105.1,28
"PADANG",-1.3175,100.3375,4
