Lengdegrad-band-start,Lengdegrad-band-slutt,Snitt-lengdegrad,Antall-observasjoner,Forventet-GMT,Topp-avlest-HR,Antall-topp-HR,Topp-HR-prosent
-180,-175,-178.00,117,23:51,00:00,117,100.0%
-175,-170,-172.60,126,23:30,00:00,73,57.9%
-170,-165,-167.79,68,23:11,23:00,68,100.0%
-165,-160,-162.25,67,22:49,23:00,67,100.0%
-160,-155,-157.60,102,22:30,23:00,54,52.9%
-155,-150,-152.49,91,22:09,22:00,91,100.0%
-150,-145,-147.42,139,21:49,22:00,139,100.0%
-145,-140,-142.17,105,21:28,21:00,66,62.9%
-140,-135,-137.27,183,21:09,21:00,183,100.0%
-135,-130,-132.60,180,20:50,21:00,180,100.0%
-130,-125,-127.57,148,20:30,20:00,75,50.7%
-125,-120,-122.74,114,20:10,20:00,114,100.0%
-120,-115,-117.42,116,19:49,20:00,116,100.0%
-115,-110,-112.22,157,19:28,19:00,91,58.0%
-110,-105,-107.84,151,19:11,19:00,151,100.0%
-105,-100,-102.46,118,18:49,19:00,118,100.0%
-100,-95,-97.06,149,18:28,18:00,92,61.7%
-95,-90,-92.34,386,18:09,18:00,386,100.0%
-90,-85,-87.17,841,17:48,18:00,841,100.0%
-85,-80,-82.16,1104,17:28,17:00,662,60.0%
-80,-75,-77.73,2159,17:10,17:00,2159,100.0%
-75,-70,-72.51,2733,16:50,17:00,2733,100.0%
-70,-65,-67.42,4383,16:29,16:00,2241,51.1%
-65,-60,-62.21,6025,16:08,16:00,6025,100.0%
-60,-55,-57.43,6215,15:49,16:00,6215,100.0%
-55,-50,-52.56,6175,15:30,16:00,3230,52.3%
-50,-45,-47.52,6321,15:10,15:00,6321,100.0%
-45,-40,-42.32,6894,14:49,15:00,6894,100.0%
-40,-35,-37.35,10613,14:29,14:00,5740,54.1%
-35,-30,-32.41,14910,14:09,14:00,14910,100.0%
-30,-25,-27.39,18904,13:49,14:00,18904,100.0%
-25,-20,-22.36,24553,13:29,13:00,13267,54.0%
-20,-15,-17.70,23477,13:10,13:00,23477,100.0%
-15,-10,-12.56,18635,12:50,13:00,18635,100.0%
-10,-5,-7.80,13005,12:31,13:00,7690,59.1%
-5,0,-2.57,6288,12:10,12:00,6288,100.0%
0,5,2.38,6447,11:50,12:00,6447,100.0%
5,10,7.30,3669,11:30,12:00,2003,54.6%
10,15,12.49,3001,11:10,11:00,3001,100.0%
15,20,17.41,3556,10:50,11:00,3556,100.0%
20,25,22.41,3187,10:30,11:00,1693,53.1%
25,30,27.47,2753,10:10,10:00,2753,100.0%
30,35,32.45,2617,09:50,10:00,2617,100.0%
35,40,37.52,2851,09:29,09:00,1460,51.2%
40,45,42.56,3209,09:09,09:00,3209,100.0%
45,50,47.54,2527,08:49,09:00,2527,100.0%
50,55,52.40,2420,08:30,09:00,1272,52.6%
55,60,57.54,2586,08:09,08:00,2586,100.0%
60,65,62.48,2468,07:50,08:00,2468,100.0%
65,70,67.47,2397,07:30,08:00,1226,51.1%
70,75,72.47,2396,07:10,07:00,2396,100.0%
75,80,77.64,2706,06:49,07:00,2706,100.0%
80,85,82.43,4259,06:30,07:00,2217,52.1%
85,90,87.60,4308,06:09,06:00,4308,100.0%
90,95,92.30,3298,05:50,06:00,3298,100.0%
95,100,97.51,2765,05:29,05:00,1409,51.0%
100,105,102.74,3822,05:09,05:00,3822,100.0%
105,110,106.61,2512,04:53,05:00,2512,100.0%
110,115,112.85,1176,04:28,04:00,785,66.8%
115,120,117.38,613,04:10,04:00,613,100.0%
120,125,122.21,455,03:51,04:00,455,100.0%
125,130,127.38,369,03:30,04:00,197,53.4%
130,135,132.53,259,03:09,03:00,259,100.0%
135,140,137.41,160,02:50,03:00,160,100.0%
140,145,142.22,187,02:31,03:00,118,63.1%
145,150,147.46,126,02:10,02:00,126,100.0%
150,155,152.38,173,01:50,02:00,173,100.0%
155,160,157.45,134,01:30,01:00,70,52.2%
160,165,162.53,148,01:09,01:00,148,100.0%
165,170,167.34,150,00:50,01:00,150,100.0%
170,175,172.51,92,00:29,01:00,50,54.3%
175,180,177.43,101,00:10,00:00,101,100.0%
