punkt,dybde_m,lat,lon,v16.73_R,v16.73_G,v16.73_B,v16.74_R,v16.74_G,v16.74_B
"Mariana-graven (10920m)",10920,11.35,142.2,54,94,131,5,40,78
"Puerto Rico-graven (8400m)",8400,19.7,-66.0,90,145,183,60,117,171
"Java-graven (7290m)",7290,-10.0,109.0,107,163,199,67,128,174
"Sør-Atlanteren dyp (5500m)",5500,-30.0,-20.0,96,160,202,97,161,203
"Nord-Atlanteren dyp (4500m)",4500,40.0,-40.0,102,166,208,104,168,210
"Stillehavet sentralt (5000m)",5000,0.0,-150.0,109,171,214,104,168,210
"Mid-Atlantic Ridge (2500m)",2500,0.0,-14.5,108,172,212,123,187,227
"Bering-havet (3500m)",3500,55.0,-175.0,117,176,217,115,177,217
"Nordsjøen (150m)",150,55.0,3.0,199,228,243,128,192,229
"Persiagulfen (50m)",50,27.0,51.0,209,234,246,126,191,228
"Karibhavet (4000m)",4000,15.0,-75.0,114,174,213,109,173,213
"Sørishavet sør (4500m)",4500,-55.0,0.0,116,178,217,112,177,214
